,Player,Position,FGM,FGA,Fumbles_Lost,Fantasy_Points
0,Stephen Gostkowski,K,31.6,34.5,45.1,139.9
1,Mason Crosby,K,27.8,33.3,47.4,130.8
2,Adam Vinatieri,K,28.7,31.8,43.5,129.6
3,Cody Parkey,K,28.8,33.0,43.1,129.6
4,Justin Tucker,K,29.8,33.6,39.0,128.3
5,Steven Hauschka,K,29.2,34.0,39.7,127.3
6,Dan Bailey,K,25.3,29.0,47.5,123.3
7,Dan Carpenter,K,28.9,33.3,33.8,120.6
8,Brandon McManus,K,24.7,33.2,46.4,120.5
9,Chandler Catanzaro,K,29.1,33.2,32.1,119.3
10,Matt Bryant,K,26.7,30.1,38.5,118.5
11,Josh Scobee,K,26.1,33.0,40.0,118.5
12,Graham Gano,K,26.0,31.1,37.1,115.1
13,Nick Folk,K,27.5,32.7,32.0,114.4
14,Randy Bullock,K,26.6,32.2,33.8,113.5
15,Cairo Santos,K,24.6,29.6,39.0,112.9
16,Andrew Franks,K,25.5,30.6,36.0,112.6
17,Josh Brown,K,25.1,28.5,36.8,112.2
18,Josh Lambo,K,25.3,30.3,35.5,111.5
19,Phil Dawson,K,25.9,30.9,32.7,110.4
20,Blair Walsh,K,25.2,32.6,34.5,110.1
21,Greg Zuerlein,K,25.1,30.1,34.7,109.8
22,Mike Nugent,K,23.9,30.0,36.9,108.6
23,Matt Prater,K,23.9,29.5,35.5,107.3
24,Travis Coons,K,24.7,30.0,32.4,106.5
25,Zach Hocker,K,21.4,26.7,41.9,105.9
26,Kai Forbath,K,23.5,27.8,33.7,104.3
27,Sebastian Janikowski,K,23.3,27.3,30.9,100.7
28,Robbie Gould,K,21.4,27.5,35.1,99.3
29,Jason Myers,K,23.2,27.6,28.0,97.6
30,Kyle Brindza,K,22.1,26.3,30.2,96.3
31,Ryan Succop,K,21.4,25.7,29.3,93.5
