,Player,Position,Pass_Attempt,Pass_Completion,Pass_Yards,Pass_Touchdowns,Interceptions,Rush_Attempt,Rush_Yards,Rush_Touchdowns,Fumbles_Lost,Fantasy_Points
0,Andrew Luck,QB,645.0,396.3,"4,774.4",34.9,15.9,54.6,254.6,2.3,4.1,329.6
1,Aaron Rodgers,QB,549.3,357.2,"4,405.4",34.3,9.1,49.0,242.9,2.0,3.2,325.2
2,Russell Wilson,QB,465.3,286.5,"3,580.7",24.4,11.0,103.0,645.5,4.0,2.3,303.2
3,Peyton Manning,QB,596.4,394.7,"4,664.5",35.0,13.1,27.1,13.8,0.5,3.2,298.0
4,Drew Brees,QB,621.8,417.9,"4,805.6",30.9,14.5,28.0,70.8,1.3,3.2,295.6
5,Tom Brady,QB,600.9,382.5,"4,333.1",31.1,11.8,32.2,60.8,1.2,3.0,281.2
6,Cam Newton,QB,504.8,302.7,"3,622.9",21.8,14.7,105.4,568.9,4.7,4.4,278.9
7,Matt Ryan,QB,627.1,412.0,"4,674.6",28.6,15.3,26.0,93.9,0.8,3.0,278.8
8,Tony Romo,QB,509.2,334.8,"4,079.2",31.7,11.4,27.2,67.6,0.8,2.9,272.9
9,Matthew Stafford,QB,635.0,384.0,"4,507.5",27.5,15.0,35.9,106.3,1.4,4.0,271.3
10,Ben Roethlisberger,QB,596.5,387.5,"4,548.9",28.6,13.5,26.7,60.0,0.4,3.6,270.3
11,Ryan Tannehill,QB,584.5,371.8,"4,137.1",25.6,15.0,47.8,243.4,1.5,4.2,262.7
12,Philip Rivers,QB,569.1,369.2,"4,333.2",28.4,16.2,34.4,71.8,0.4,2.8,258.8
13,Eli Manning,QB,589.9,365.3,"4,323.1",27.4,16.4,24.7,75.3,0.8,3.9,254.0
14,Colin Kaepernick,QB,481.3,289.2,"3,454.3",18.7,12.3,95.3,573.5,2.4,4.0,252.2
15,Jay Cutler,QB,574.2,358.7,"3,978.3",25.4,16.9,41.4,196.7,1.5,3.3,249.1
16,Joe Flacco,QB,554.0,339.9,"3,902.1",25.4,14.6,42.1,125.3,1.5,2.7,244.5
17,Teddy Bridgewater,QB,516.7,319.9,"3,687.8",22.2,15.4,63.1,262.6,1.6,2.6,236.6
18,Sam Bradford,QB,512.3,314.3,"3,747.0",24.4,13.0,39.3,131.2,1.2,3.4,235.0
19,Carson Palmer,QB,559.2,341.2,"4,018.8",24.0,13.7,23.5,60.4,0.6,3.0,232.8
20,Alex Smith,QB,491.7,306.5,"3,395.0",21.7,11.3,54.8,271.4,1.5,2.6,230.7
21,Andy Dalton,QB,530.0,325.4,"3,657.7",22.6,18.2,55.6,190.1,1.9,3.6,223.3
22,Marcus Mariota,QB,484.5,290.0,"3,390.2",18.1,15.0,69.3,376.8,2.0,3.1,221.5
23,Jameis Winston,QB,510.0,301.5,"3,711.7",20.7,17.4,46.2,194.8,1.2,3.6,216.4
24,Nick Foles,QB,503.7,307.2,"3,485.5",20.6,14.8,40.0,170.6,1.0,3.0,209.3
25,Derek Carr,QB,581.6,341.9,"3,726.7",21.0,15.9,29.1,95.8,0.7,3.8,207.5
26,Blake Bortles,QB,530.8,312.0,"3,427.8",17.4,18.1,58.0,354.1,1.1,3.4,205.5
27,Tyrod Taylor,QB,441.2,270.6,"2,977.5",17.6,14.3,68.8,345.2,1.8,3.5,199.2
28,Josh McCown,QB,444.2,257.2,"3,089.5",14.6,14.1,36.8,169.3,1.6,3.4,173.8
29,Kirk Cousins,QB,436.4,268.6,"3,170.3",16.1,15.8,19.9,75.5,0.3,4.0,160.9
30,Brian Hoyer,QB,403.8,237.2,"2,774.3",14.9,12.4,23.8,52.8,0.5,3.1,147.9
31,Ryan Fitzpatrick,QB,321.6,193.9,"2,254.7",13.8,10.1,37.4,159.2,1.0,1.2,144.8
32,Geno Smith,QB,182.4,106.5,"1,247.9",7.5,6.7,23.7,114.0,1.0,1.3,81.2
33,Ryan Mallett,QB,173.0,103.9,"1,247.6",6.4,4.6,20.5,47.3,0.5,0.7,72.3
34,Robert Griffin,QB,89.3,54.7,634.4,3.4,2.4,13.8,75.5,0.5,0.6,43.5
35,Johnny Manziel,QB,91.5,52.4,595.4,3.0,3.2,11.4,44.7,0.4,0.8,34.7
36,E.J. Manuel,QB,76.9,45.1,509.3,3.0,2.3,10.1,38.1,0.0,0.2,31.3
37,Mark Sanchez,QB,70.1,43.5,517.2,3.5,2.7,7.1,18.1,0.0,0.3,30.6
38,Colt McCoy,QB,37.7,24.0,271.0,2.0,1.3,2.7,8.3,0.0,0.0,17.0
39,Derek Anderson,QB,30.2,18.1,219.7,1.5,0.9,2.7,7.0,0.0,0.2,13.4
40,Zach Mettenberger,QB,35.1,20.6,232.8,1.3,1.0,2.0,8.6,0.0,0.2,13.3
41,Brandon Weeden,QB,25.9,15.5,182.5,1.4,0.2,0.7,1.8,0.0,0.1,12.3
42,Drew Stanton,QB,31.4,18.8,212.0,1.1,1.0,1.6,5.2,0.0,0.2,11.1
43,Mike Glennon,QB,27.1,15.8,182.6,1.1,0.9,5.4,10.5,0.0,0.2,10.5
44,Jimmy Clausen,QB,28.4,16.3,185.2,1.0,0.7,2.0,7.1,0.0,0.3,10.3
45,Chase Daniel,QB,23.6,13.7,153.4,1.0,0.3,1.8,8.7,0.1,0.2,10.3
46,Case Keenum,QB,27.9,16.3,178.8,1.0,0.7,1.4,7.8,0.1,0.3,10.1
47,Jimmy Garoppolo,QB,25.7,15.0,162.1,1.0,0.7,1.7,4.2,0.0,0.3,8.7
48,Chad Henne,QB,30.5,17.4,185.4,0.6,0.7,1.7,6.6,0.0,0.3,8.6
49,Shaun Hill,QB,25.5,15.2,175.7,0.8,0.7,0.7,1.7,0.0,0.3,8.5
50,AJ McCarron,QB,8.5,5.0,58.5,0.0,0.0,0.0,0.0,1.0,0.0,8.3
51,Blaine Gabbert,QB,26.9,15.9,180.1,0.4,0.5,2.2,6.5,0.0,0.2,8.2
52,Sean Renfree,QB,20.5,12.6,143.4,0.8,0.5,1.8,5.8,0.1,0.3,8.1
53,Michael Vick,QB,20.1,11.2,123.8,0.8,0.3,2.8,10.4,0.0,0.3,8.0
54,Scott Tolzien,QB,17.0,10.7,118.5,0.4,0.4,1.3,4.6,0.0,0.3,5.8
55,Ryan Nassib,QB,14.6,9.1,102.1,0.6,0.4,0.9,1.0,0.0,0.1,5.4
56,Dan Orlovsky,QB,14.4,8.7,99.2,0.5,0.4,0.8,2.9,0.0,0.3,5.0
57,Luke McCown,QB,14.8,8.8,97.8,0.4,0.3,0.7,2.1,0.0,0.1,4.9
58,Matt Hasselbeck,QB,13.2,8.6,98.9,0.3,0.1,0.5,-0.2,0.0,0.2,4.5
59,Brock Osweiler,QB,10.0,5.9,66.5,0.2,0.2,1.4,2.8,0.0,0.1,3.4
60,Kellen Clemens,QB,13.0,7.3,76.4,0.3,0.4,0.4,-0.1,0.0,0.3,2.7
61,Matt Moore,QB,7.0,4.5,52.5,0.3,0.1,0.6,-0.1,0.0,0.2,2.6
62,Matt Schaub,QB,12.8,7.7,78.1,0.2,0.4,1.7,1.0,0.0,0.5,2.1
63,Matt McGloin,QB,3.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
