,Player,Position,Rush_Attempt,Rush_Yards,Rush_Touchdowns,Rec,Receive_Yards,Receive_Touchdowns,Fumbles_Lost,Fantasy_Points
0,Marshawn Lynch,RB,288.8,"1,357.1",10.0,38.3,337.2,2.4,2.4,238.6
1,Jamaal Charles,RB,233.8,"1,135.9",9.5,51.7,433.0,4.8,2.6,237.6
2,Eddie Lacy,RB,281.1,"1,266.4",9.8,46.3,385.3,2.2,2.4,232.3
3,Adrian Peterson,RB,283.5,"1,323.3",9.9,41.5,299.5,1.5,2.1,226.2
4,Le'Veon Bell,RB,237.4,"1,057.0",7.4,65.8,569.6,2.4,1.2,218.9
5,C.J. Anderson,RB,243.7,"1,113.5",9.7,44.7,379.5,1.6,1.1,214.5
6,Matt Forte,RB,255.2,"1,069.1",6.9,70.7,570.2,2.4,2.7,214.2
7,DeMarco Murray,RB,263.2,"1,198.2",10.0,40.6,291.8,1.0,6.0,202.6
8,Jeremy Hill,RB,251.1,"1,157.5",8.8,30.2,239.2,1.1,2.6,193.5
9,LeSean McCoy,RB,286.8,"1,261.4",6.4,35.8,245.4,0.9,2.8,188.6
10,Justin Forsett,RB,216.0,"1,041.5",6.1,53.1,367.9,1.3,1.3,182.4
11,Lamar Miller,RB,224.0,"1,043.4",6.8,38.1,279.7,1.0,2.9,173.2
12,Mark Ingram,RB,232.9,"1,030.9",8.8,26.1,169.7,0.5,1.7,172.2
13,Melvin Gordon,RB,225.9,"1,003.6",5.8,32.6,261.0,1.4,1.1,167.9
14,Arian Foster,RB,200.8,921.0,6.1,33.1,277.4,2.1,1.2,166.9
15,Latavius Murray,RB,216.3,983.4,6.1,33.8,273.6,1.1,1.3,166.5
16,Frank Gore,RB,222.4,905.3,6.1,33.7,280.5,1.4,2.7,158.4
17,Carlos Hyde,RB,236.1,990.3,6.7,25.7,182.2,0.6,1.7,157.6
18,LeGarrette Blount,RB,205.0,915.6,8.7,15.9,109.8,0.4,1.1,154.7
19,Alfred Morris,RB,230.1,"1,003.8",6.3,19.5,147.6,0.6,1.6,153.1
20,Jonathan Stewart,RB,210.5,936.9,5.4,29.9,223.1,1.0,1.5,151.4
21,T.J. Yeldon,RB,194.4,865.9,5.2,33.8,259.5,1.1,1.2,147.8
22,Andre Ellington,RB,178.5,720.4,3.7,49.1,429.1,2.0,2.2,144.8
23,Chris Ivory,RB,205.7,904.2,5.5,25.7,174.7,0.8,1.2,143.5
24,Rashad Jennings,RB,194.5,804.1,5.8,33.7,251.8,0.8,1.8,141.5
25,Joique Bell,RB,178.5,725.0,5.9,33.1,298.8,0.9,1.8,140.0
26,Isaiah Crowell,RB,211.1,895.9,5.9,20.8,161.4,0.5,3.0,138.3
27,Tevin Coleman,RB,171.9,713.0,5.6,30.0,225.3,0.9,1.4,130.0
28,Giovani Bernard,RB,134.3,556.1,4.0,48.4,382.6,1.8,1.3,125.7
29,Todd Gurley,RB,162.4,738.6,5.0,22.1,175.8,0.7,1.0,123.6
30,Joseph Randle,RB,167.5,772.4,5.4,18.4,138.3,0.6,2.3,122.3
31,Ameer Abdullah,RB,142.1,596.8,4.5,38.0,293.8,1.5,1.5,122.2
32,Doug Martin,RB,192.5,761.9,4.5,24.3,149.6,0.4,1.6,117.3
33,C.J. Spiller,RB,106.4,461.5,2.5,57.3,441.6,2.6,2.1,116.9
34,Devonta Freeman,RB,141.1,545.2,3.7,36.5,297.5,1.1,1.6,109.3
35,Ryan Mathews,RB,126.1,577.6,5.3,15.6,130.2,0.6,1.9,102.2
36,Tre Mason,RB,144.4,624.3,3.1,20.1,168.1,0.5,2.3,96.5
37,Shane Vereen,RB,81.4,330.6,2.2,48.1,420.3,1.5,1.8,94.0
38,Duke Johnson,RB,114.1,493.4,3.2,30.1,248.0,0.6,1.3,94.0
39,Bishop Sankey,RB,149.8,612.3,3.2,19.8,147.5,0.4,2.4,92.5
40,Charles Sims,RB,110.6,419.1,2.5,38.5,333.2,0.8,2.2,90.4
41,Alfred Blue,RB,146.0,576.7,2.7,16.6,136.9,0.6,1.3,88.9
42,Darren McFadden,RB,115.7,480.7,3.4,20.1,143.0,0.9,1.5,85.3
43,Danny Woodhead,RB,63.2,245.9,1.2,49.1,432.3,2.0,1.8,83.5
44,Darren Sproles,RB,53.9,244.6,2.4,44.7,401.3,1.4,2.0,83.3
45,Reggie Bush,RB,91.5,401.1,1.9,37.2,287.0,0.8,1.5,82.1
46,Knile Davis,RB,107.7,421.6,4.0,16.1,127.8,0.8,2.3,79.0
47,Roy Helu,RB,69.2,297.1,1.8,37.5,309.2,1.1,1.3,75.3
48,Matt Jones,RB,84.5,352.2,2.9,26.7,215.2,0.8,2.0,74.9
49,Ronnie Hillman,RB,87.6,367.5,2.7,18.8,146.2,0.8,1.1,70.2
50,David Johnson,RB,91.5,364.7,2.4,22.9,185.4,0.5,1.2,70.0
51,Lorenzo Taliaferro,RB,81.7,338.5,3.2,17.4,154.5,0.9,2.6,68.7
52,Andre Williams,RB,101.2,391.0,3.6,13.8,100.2,0.2,1.8,68.6
53,Denard Robinson,RB,95.0,408.9,2.3,24.7,158.0,0.7,3.2,68.3
54,Josh Robinson,RB,73.4,308.3,2.3,22.5,180.5,0.7,1.7,63.1
55,James Starks,RB,81.9,345.7,1.8,19.4,146.7,0.7,1.1,62.0
56,Damien Williams,RB,81.2,319.5,2.0,19.2,165.8,0.5,1.3,61.0
57,Lance Dunbar,RB,64.0,265.7,1.3,24.8,234.1,0.9,1.5,60.2
58,Christine Michael,RB,81.0,365.1,2.9,5.9,50.6,0.1,0.0,59.7
59,Benny Cunningham,RB,56.8,223.6,1.3,30.0,240.2,0.9,0.8,57.8
60,Jerick McKinnon,RB,63.3,305.3,1.7,23.8,152.7,0.4,0.8,56.6
61,Bilal Powell,RB,57.8,236.6,1.6,28.4,217.8,0.5,1.2,55.7
62,Dion Lewis,RB,49.0,203.1,1.5,27.4,215.9,0.8,0.0,55.6
63,Javorius Allen,RB,74.6,325.0,2.0,13.2,104.3,0.5,1.3,55.0
64,Fred Jackson,RB,58.8,249.4,1.6,17.2,135.8,0.7,0.1,52.6
65,Chris Johnson,RB,76.9,306.3,1.5,15.4,117.5,0.6,1.5,52.1
66,Brandon Bolden,RB,70.4,278.7,2.6,13.4,87.9,0.3,0.9,52.0
67,Theo Riddick,RB,32.3,120.7,0.5,29.9,263.7,2.1,1.2,51.9
68,DeAngelo Williams,RB,83.6,333.6,2.0,12.4,107.0,0.1,2.6,51.3
69,Ray Rice,RB,67.0,275.0,2.0,14.0,100.0,0.0,0.0,49.5
70,Cameron Artis-Payne,RB,64.3,262.9,1.9,11.8,97.6,0.2,0.0,48.8
71,Branden Oliver,RB,65.0,251.3,2.1,14.0,110.5,0.2,0.9,48.6
72,Antonio Andrews,RB,51.7,171.0,0.8,33.9,212.8,1.0,1.3,46.3
73,Terrance West,RB,67.4,289.8,1.6,11.3,77.1,0.6,1.7,46.2
74,Dexter McCluster,RB,36.2,142.7,0.6,29.3,241.6,1.0,1.1,45.5
75,Mike Tolbert,RB,48.5,161.1,1.6,17.4,126.7,1.0,0.0,44.2
76,Jacquizz Rodgers,RB,46.6,181.5,1.2,19.7,132.8,0.5,1.3,38.9
77,Karlos Williams,RB,51.1,216.9,1.4,11.5,89.7,0.3,1.8,37.6
78,Fozzy Whittaker,RB,43.1,173.1,0.8,9.4,99.2,1.2,1.5,36.2
79,Toby Gerhart,RB,39.0,157.2,1.2,15.9,129.7,0.4,1.4,35.8
80,Montee Ball,RB,50.0,225.0,1.0,9.0,67.0,0.0,0.0,35.2
81,De'Anthony Thomas,RB,12.3,71.3,0.2,24.0,180.5,1.1,0.0,33.2
82,Marcel Reece,RB,20.8,88.0,0.5,21.5,182.3,0.7,0.9,32.6
83,Jeremy Langford,RB,59.0,237.0,1.0,2.0,17.0,0.0,0.0,31.4
84,Darrel Young,RB,8.5,40.2,1.6,9.1,84.4,1.6,0.0,31.4
85,Khiry Robinson,RB,36.7,162.5,1.3,7.8,65.1,0.3,0.5,31.3
86,Ka'Deem Carey,RB,34.4,153.5,0.8,10.5,90.1,0.3,0.0,30.8
87,LaMichael James,RB,40.3,164.4,1.1,12.1,75.8,0.4,1.3,30.1
88,Vick Ballard,RB,36.2,148.9,0.8,9.9,77.0,0.4,0.0,29.8
89,Stevan Ridley,RB,51.7,220.8,1.5,5.1,35.2,0.1,2.6,29.7
90,James White,RB,34.7,135.0,0.7,12.7,90.4,0.4,0.2,28.7
91,Bruce Miller,RB,15.2,44.1,0.3,17.7,176.0,1.2,1.2,28.7
92,David Cobb,RB,47.5,197.0,1.0,2.5,20.0,0.0,0.0,27.7
93,Chris Polk,RB,36.2,159.0,1.1,5.8,49.5,0.2,0.4,27.7
94,Juwan Thompson,RB,38.9,168.2,1.2,4.1,28.7,0.0,0.0,27.1
95,Stepfan Taylor,RB,32.1,119.3,1.2,8.6,69.9,0.1,0.0,26.9
96,Bobby Rainey,RB,29.3,126.0,0.7,10.5,81.5,0.1,0.2,25.2
97,Jonathan Grimes,RB,29.8,119.3,0.6,8.8,79.2,0.5,0.4,25.2
98,Nikita Whitlock,RB,22.2,85.0,0.6,12.2,104.0,0.4,0.2,24.5
99,Austin Johnson,RB,20.2,61.0,0.2,7.6,62.0,1.8,0.0,24.3
100,Zach Line,RB,17.4,86.0,0.7,11.8,95.0,0.3,0.1,23.9
101,Anthony Dixon,RB,30.2,116.5,1.3,4.5,35.0,0.1,0.0,23.3
102,Zac Stacy,RB,40.0,162.5,0.9,4.0,28.8,0.1,1.0,23.0
103,Tommy Bohanon,RB,16.7,66.0,0.2,15.6,136.0,0.2,0.0,22.6
104,Derrick Coleman,RB,2.5,4.0,0.0,9.1,104.4,1.8,0.0,21.6
105,Malcolm Johnson,RB,20.9,81.3,0.4,11.5,93.0,0.3,0.0,21.6
106,Matt Asiata,RB,18.3,75.9,0.8,9.3,67.1,0.4,0.2,20.9
107,Thomas Rawls,RB,30.0,130.0,1.0,2.0,14.0,0.0,0.0,20.4
108,John Kuhn,RB,22.1,86.7,1.0,9.7,62.6,0.1,0.5,20.3
109,Jalston Fowler,RB,17.8,79.0,0.4,9.2,82.0,0.3,0.1,20.1
110,Dri Archer,RB,23.9,88.6,0.2,11.0,85.2,0.3,0.2,20.1
111,Michael Burton,RB,24.3,91.8,0.4,9.2,72.8,0.1,0.0,19.2
112,Anthony Sherman,RB,5.7,25.9,0.2,11.8,88.3,1.1,0.3,19.1
113,Travaris Cadet,RB,15.8,64.3,0.4,10.4,83.5,0.4,0.3,18.7
114,Jerome Felton,RB,18.9,90.6,0.5,8.3,53.5,0.2,0.0,18.7
115,Jorvorskie Lane,RB,15.7,82.0,0.5,8.3,49.9,0.1,0.0,16.7
116,Ryan Hewitt,RB,16.4,52.4,0.4,7.9,69.0,0.4,0.0,16.6
117,Jay Ajayi,RB,20.5,95.5,0.5,5.0,37.5,0.0,0.0,16.3
118,Jay Prosch,RB,14.9,55.2,0.3,7.1,74.1,0.2,0.1,16.0
119,Patrick DiMarco,RB,3.2,12.4,0.0,12.0,90.2,0.9,0.0,15.6
120,Terron Ward,RB,13.0,52.0,1.0,5.0,39.0,0.0,0.0,15.1
121,Jarryd Hayne,RB,18.5,82.2,0.5,4.3,32.9,0.1,0.0,14.7
122,Tyler Clutts,RB,8.5,24.9,0.2,6.4,25.0,1.6,0.6,14.3
123,Trey Watts,RB,11.4,48.0,0.1,7.8,65.7,0.3,0.0,13.6
124,Chris Thompson,RB,13.0,51.0,0.0,9.0,74.0,0.0,0.0,12.5
125,Kyle Juszczyk,RB,1.1,2.7,0.0,19.3,140.5,0.4,3.1,10.4
126,Fitzgerald Toussaint,RB,11.3,48.8,0.4,2.6,23.4,0.1,0.2,9.8
127,Taiwan Jones,RB,9.1,35.2,0.2,4.3,35.7,0.1,0.0,9.3
128,Collin Mooney,RB,8.3,32.2,0.1,5.5,38.1,0.2,0.0,8.7
129,Cedric Peerman,RB,3.9,10.7,0.0,8.2,64.2,0.2,0.0,8.6
130,Will Johnson,RB,2.0,5.1,0.0,8.9,67.1,0.2,0.0,8.3
131,Rex Burkhead,RB,7.9,30.4,0.3,4.5,34.9,0.0,0.0,8.1
132,Orleans Darkwa,RB,7.0,21.1,0.1,4.2,41.4,0.2,0.0,8.1
133,Tim Hightower,RB,9.9,36.4,0.2,3.6,26.4,0.1,0.0,8.0
134,James Casey,RB,0.4,0.4,0.0,3.8,40.2,0.5,0.0,6.9
135,Kiero Small,RB,7.2,32.3,0.1,3.2,22.7,0.1,0.0,6.5
136,Mike Davis,RB,13.0,49.0,0.0,2.0,15.0,0.0,0.0,6.4
137,Mike James,RB,11.2,39.3,0.3,1.3,4.8,0.0,0.0,6.3
138,Zach Zenner,RB,15.0,62.0,0.0,0.0,0.0,0.0,0.0,6.2
139,Donald Brown,RB,5.6,20.8,0.1,4.2,30.9,0.1,0.0,6.1
140,Bryce Brown,RB,9.0,32.4,0.0,3.0,25.9,0.0,0.0,5.9
141,Senorise Perry,RB,5.3,16.0,0.2,3.3,19.6,0.1,0.0,5.2
142,Jamize Olawale,RB,2.0,4.6,0.0,3.6,29.3,0.3,0.0,5.1
143,Jordan Todman,RB,6.9,29.4,0.1,1.7,10.5,0.0,0.0,4.9
144,Marcus Thigpen,RB,2.9,8.8,0.1,4.5,26.2,0.1,0.0,4.7
145,Charcandrick West,RB,5.5,17.5,0.1,3.4,19.6,0.1,0.0,4.3
146,Bernard Pierce,RB,4.2,14.0,0.1,1.0,5.4,0.0,0.0,2.6
147,Shaun Draughn,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
