,Player,Position,Rec,Receive_Yards,Receive_Touchdowns,Fumbles_Lost,Fantasy_Points
0,Rob Gronkowski,TE,83.0,"1,101.3",10.2,0.2,171.2
1,Jimmy Graham,TE,70.4,860.7,8.8,1.4,136.1
2,Greg Olsen,TE,78.0,926.5,5.6,0.4,125.4
3,Travis Kelce,TE,72.4,851.9,6.2,2.4,117.3
4,Martellus Bennett,TE,78.8,827.9,5.3,0.3,114.2
5,Jason Witten,TE,65.2,744.4,5.8,0.4,108.5
6,Delanie Walker,TE,56.9,674.5,4.3,0.3,92.5
7,Dwayne Allen,TE,42.7,509.1,7.0,0.3,92.1
8,Jordan Cameron,TE,52.9,628.8,4.5,0.3,89.2
9,Zach Ertz,TE,51.7,632.0,4.3,1.1,86.6
10,Coby Fleener,TE,45.9,571.6,4.8,0.3,85.4
11,Antonio Gates,TE,44.6,519.9,5.4,0.6,83.5
12,Kyle Rudolph,TE,51.2,552.5,4.6,0.2,82.2
13,Owen Daniels,TE,48.7,557.5,4.4,0.3,81.5
14,Heath Miller,TE,57.5,631.2,3.7,2.2,81.0
15,Julius Thomas,TE,48.3,540.2,4.4,0.4,79.4
16,Jordan Reed,TE,61.0,608.4,3.6,1.6,79.4
17,Tyler Eifert,TE,52.4,537.3,3.6,0.3,74.4
18,Vernon Davis,TE,41.7,509.6,4.0,0.4,74.2
19,Jared Cook,TE,45.8,545.1,3.4,0.3,74.1
20,Charles Clay,TE,48.9,540.0,3.3,0.4,73.3
21,Josh Hill,TE,40.4,441.3,4.3,0.4,69.1
22,Larry Donnell,TE,50.1,518.4,4.0,3.6,68.6
23,Austin Seferian-Jenkins,TE,50.4,536.9,3.4,2.9,68.1
24,Richard Rodgers,TE,35.2,388.6,4.4,0.3,64.6
25,Mychal Rivera,TE,42.6,438.8,3.5,0.9,62.8
26,Eric Ebron,TE,43.4,459.4,2.8,0.3,61.9
27,Ladarius Green,TE,34.2,421.4,3.0,0.2,59.5
28,Benjamin Watson,TE,42.0,428.9,2.8,0.4,59.0
29,Jeff Cumberland,TE,32.9,368.3,3.3,0.3,56.3
30,Brent Celek,TE,32.8,374.6,3.0,1.8,51.7
31,Maxx Williams,TE,32.5,357.7,2.5,0.4,49.9
32,Jacob Tamme,TE,36.8,369.2,2.4,1.4,48.6
33,Crockett Gillmore,TE,28.6,317.5,2.9,0.3,48.5
34,Garrett Graham,TE,33.5,349.9,2.5,0.8,48.3
35,Clive Walford,TE,27.5,319.5,2.5,0.0,47.0
36,Lance Kendricks,TE,25.8,267.7,3.2,0.3,45.4
37,Andrew Quarless,TE,26.1,295.1,2.5,0.3,43.7
38,Scott Chandler,TE,25.4,289.2,2.4,0.2,42.9
39,Gavin Escobar,TE,19.1,232.3,3.3,0.4,42.0
40,Virgil Green,TE,27.9,285.1,2.3,0.3,41.7
41,Marcedes Lewis,TE,22.3,262.5,2.3,1.3,37.4
42,James O'Shaughnessy,TE,28.5,256.0,2.1,0.5,37.2
43,Rob Housler,TE,24.5,274.3,1.6,0.3,36.3
44,Luke Willson,TE,18.8,252.7,1.9,0.2,36.3
45,Darren Fells,TE,20.8,231.4,2.3,0.3,36.1
46,Rhett Ellison,TE,21.8,257.1,1.8,0.2,35.8
47,Craig Stevens,TE,20.3,236.9,1.8,0.0,34.6
48,Matt Spaeth,TE,21.3,231.1,1.9,0.4,33.9
49,Dion Sims,TE,20.8,231.9,1.7,0.3,33.1
50,Levine Toilolo,TE,27.1,260.2,1.6,1.2,33.0
51,Ryan Hewitt,TE,22.2,226.0,1.5,0.3,31.0
52,Gary Barnidge,TE,20.2,220.6,1.6,0.3,30.8
53,Derek Carrier,TE,21.9,240.0,1.3,0.4,30.7
54,Ed Dickson,TE,20.2,215.0,1.6,0.4,30.0
55,Daniel Fells,TE,18.3,205.4,2.2,2.0,30.0
56,Jermaine Gresham,TE,23.1,219.7,1.6,0.8,30.0
57,Troy Niklas,TE,19.0,211.7,1.4,0.0,29.7
58,Chris Gragg,TE,15.9,172.3,1.7,0.4,26.5
59,Anthony Fasano,TE,15.8,156.2,1.8,0.3,25.7
60,C.J. Fiedorowicz,TE,16.1,169.3,1.4,0.4,24.8
61,James Casey,TE,9.0,123.0,2.0,0.0,24.3
62,Brandon Myers,TE,18.7,184.3,0.9,0.4,23.1
63,Kellen Davis,TE,16.2,166.3,1.1,0.4,22.6
64,Brandon Pettigrew,TE,16.6,156.4,1.0,0.5,20.5
65,Dennis Pitta,TE,11.5,134.5,1.0,0.0,19.5
66,Jim Dray,TE,13.4,154.7,0.7,0.6,18.6
67,Lee Smith,TE,15.3,129.1,1.1,0.3,18.6
68,Trey Burton,TE,13.0,129.3,0.9,0.0,18.3
69,Tyler Kroft,TE,12.2,121.5,1.2,0.5,18.1
70,Demetrius Harris,TE,13.1,125.7,0.8,0.0,17.2
71,Tim Wright,TE,10.0,110.5,1.0,0.0,17.1
72,MyCole Pruitt,TE,9.0,101.0,1.0,0.0,16.1
73,MarQueis Gray,TE,9.2,105.9,0.7,0.4,13.8
74,Vance McDonald,TE,14.4,152.7,0.4,3.0,11.9
75,Clay Harbor,TE,8.7,87.1,0.5,0.1,11.6
76,Cameron Brate,TE,5.6,69.3,0.6,0.0,10.6
77,Garrett Celek,TE,3.9,54.4,0.9,0.0,10.5
78,Ryan Griffin,TE,6.7,75.9,0.5,0.0,10.4
79,David Johnson,TE,7.5,71.9,0.6,0.1,10.4
80,Nic Jacobs,TE,4.7,60.6,0.7,0.0,10.3
81,Chase Ford,TE,6.0,70.6,0.5,0.0,9.8
82,Cooper Helfet,TE,4.7,59.2,0.6,0.0,9.4
83,Zach Miller,TE,5.4,61.6,0.3,0.0,8.2
84,Michael Hoomanawanui,TE,4.1,39.7,0.7,0.0,8.0
85,Phillip Supernaw,TE,5.7,48.7,0.4,0.0,7.2
86,Brandon Williams,TE,3.8,36.8,0.3,0.0,5.7
87,Luke Stocker,TE,4.7,42.0,0.2,0.0,5.6
88,Jack Doyle,TE,5.0,32.5,0.4,0.0,5.6
89,James Hanna,TE,5.0,49.0,0.1,0.0,5.3
90,Cory Harkey,TE,4.6,37.3,0.3,0.0,5.2
91,Jordan Thompson,TE,4.1,37.6,0.2,0.0,4.9
92,Richard Gordon,TE,3.4,22.5,0.1,0.0,2.7
93,Joseph Fauria,TE,0.0,0.0,0.0,0.0,0.0
94,Zach Sudfeld,TE,0.0,0.0,0.0,0.0,0.0
