,Player,Position,Rush_Attempt,Rush_Yards,Rush_Touchdowns,Rec,Receive_Yards,Receive_Touchdowns,Fumbles_Lost,Fantasy_Points
0,Antonio Brown,WR,4.8,23.2,0.0,116.8,"1,538.5",10.0,1.8,212.6
1,Demaryius Thomas,WR,0.0,0.0,0.0,102.4,"1,414.5",11.6,0.3,210.2
2,Dez Bryant,WR,0.1,0.5,0.0,89.8,"1,330.2",11.9,0.4,203.4
3,Odell Beckham,WR,4.1,28.1,0.0,101.8,"1,394.0",10.5,1.6,202.3
4,Julio Jones,WR,1.7,9.2,0.0,102.7,"1,430.1",8.4,0.9,192.4
5,Calvin Johnson,WR,0.0,0.0,0.0,86.0,"1,302.8",10.0,0.3,189.6
6,Randall Cobb,WR,7.7,60.6,0.0,90.3,"1,240.3",9.3,2.2,181.7
7,A.J. Green,WR,2.0,12.6,0.0,95.9,"1,311.7",8.2,2.3,177.2
8,Alshon Jeffery,WR,4.7,29.6,0.0,86.2,"1,169.7",8.8,0.3,171.9
9,T.Y. Hilton,WR,2.3,14.6,0.0,86.5,"1,238.5",7.3,0.8,167.2
10,Mike Evans,WR,0.0,0.0,0.0,78.0,"1,147.9",8.6,0.4,165.9
11,Emmanuel Sanders,WR,3.3,20.9,0.0,83.3,"1,114.7",7.7,0.3,159.4
12,Brandin Cooks,WR,9.2,68.7,0.0,90.4,"1,087.5",6.0,0.4,150.8
13,DeAndre Hopkins,WR,0.0,0.0,0.0,83.0,"1,169.7",5.9,1.5,149.7
14,Jordan Matthews,WR,0.0,0.0,0.0,73.9,"1,006.3",7.9,0.5,147.2
15,Julian Edelman,WR,6.6,52.2,0.0,96.1,"1,009.3",6.2,0.2,143.2
16,Golden Tate,WR,2.2,11.8,0.0,80.5,"1,052.7",5.6,0.3,139.6
17,DeSean Jackson,WR,4.2,20.9,0.0,64.5,"1,007.2",5.9,0.4,137.5
18,Sammy Watkins,WR,2.1,11.3,0.0,66.5,985.6,6.5,1.5,135.7
19,Andre Johnson,WR,0.0,0.0,0.0,79.3,985.5,7.0,2.8,134.8
20,Jeremy Maclin,WR,0.0,0.0,0.0,71.5,943.7,6.7,0.3,133.7
21,Brandon Marshall,WR,0.2,0.5,0.0,72.8,956.4,6.3,0.3,133.0
22,Keenan Allen,WR,0.0,0.0,0.0,79.5,"1,000.0",5.6,1.8,129.7
23,Vincent Jackson,WR,0.1,-0.2,0.0,66.2,982.1,4.8,1.1,124.9
24,Amari Cooper,WR,1.3,8.3,0.0,70.1,915.2,5.3,0.6,123.0
25,Davante Adams,WR,0.0,0.0,0.0,68.1,870.3,6.1,0.3,122.8
26,Mike Wallace,WR,1.2,10.2,0.0,58.2,859.9,5.7,0.2,121.1
27,Steve Smith,WR,0.0,0.0,0.0,70.6,935.9,5.0,1.2,121.1
28,Roddy White,WR,0.0,0.0,0.0,72.7,891.6,5.8,2.1,119.5
29,Anquan Boldin,WR,0.2,0.8,0.0,71.3,926.2,4.6,0.4,119.3
30,Jarvis Landry,WR,1.6,9.2,0.0,82.6,917.0,5.1,2.6,117.9
31,Eric Decker,WR,0.0,0.0,0.0,65.0,868.3,5.0,0.3,116.0
32,Marques Colston,WR,0.0,0.0,0.0,58.4,858.4,5.0,0.4,115.2
33,Allen Robinson,WR,0.0,0.0,0.0,72.2,866.4,4.8,0.3,114.7
34,Michael Floyd,WR,0.1,0.4,0.0,52.8,815.1,6.0,1.6,114.2
35,Nelson Agholor,WR,0.0,0.0,0.0,58.7,807.0,5.7,0.9,113.0
36,Torrey Smith,WR,0.0,0.0,0.0,52.6,824.0,5.2,0.4,112.5
37,Larry Fitzgerald,WR,0.1,0.5,0.0,71.2,869.5,4.5,2.1,110.0
38,Charles Johnson,WR,0.4,0.3,0.0,56.1,800.9,4.9,0.2,109.3
39,John Brown,WR,1.9,10.7,0.0,54.2,775.4,5.1,0.3,108.8
40,Kendall Wright,WR,2.0,12.9,0.0,69.7,805.9,4.4,1.1,105.8
41,Doug Baldwin,WR,1.0,6.4,0.0,57.7,761.7,5.1,1.0,105.7
42,Terrance Williams,WR,0.1,0.2,0.0,40.8,680.9,6.1,0.6,103.7
43,Devin Funchess,WR,0.0,0.0,0.0,57.1,749.2,4.9,0.7,102.8
44,Pierre Garcon,WR,0.1,0.3,0.0,68.4,807.5,3.8,0.4,102.6
45,Malcom Floyd,WR,0.0,0.0,0.0,42.7,758.3,4.5,0.2,102.4
46,Rueben Randle,WR,0.0,0.0,0.0,53.1,770.9,3.9,0.4,99.7
47,Brian Quick,WR,0.0,0.0,0.0,48.5,689.2,4.6,0.3,95.9
48,Eddie Royal,WR,0.7,5.4,0.0,58.5,703.0,4.9,2.5,95.1
49,Victor Cruz,WR,0.0,0.0,0.0,55.5,730.0,3.7,0.4,94.6
50,Dwayne Bowe,WR,0.0,0.0,0.0,51.5,714.3,3.2,0.3,89.9
51,Kenny Britt,WR,0.2,0.2,0.0,46.7,676.2,3.7,0.3,89.4
52,Markus Wheaton,WR,2.7,15.9,0.0,55.6,692.6,3.2,0.4,89.2
53,Kenny Stills,WR,1.5,9.4,0.0,45.7,663.8,3.5,0.3,87.9
54,Brandon Coleman,WR,0.0,0.0,0.0,45.2,640.5,4.0,0.7,86.6
55,Martavis Bryant,WR,1.5,8.1,0.0,34.7,551.1,5.1,0.3,86.2
56,Michael Crabtree,WR,0.1,1.0,0.0,56.3,629.4,3.7,0.3,84.8
57,Steve Johnson,WR,0.0,-0.1,0.0,47.2,604.8,4.1,0.3,84.6
58,Percy Harvin,WR,13.6,81.3,0.7,54.9,577.8,3.2,3.0,83.0
59,Allen Hurns,WR,1.3,8.0,0.0,47.1,604.3,3.5,0.3,81.9
60,Devante Parker,WR,0.0,0.0,0.0,45.3,599.6,3.8,0.6,81.7
61,Marvin Jones,WR,1.0,6.6,0.0,40.1,538.9,4.1,0.3,78.6
62,Brian Hartline,WR,0.0,0.0,0.0,43.3,599.6,2.8,0.3,76.1
63,Greg Jennings,WR,0.0,0.0,0.0,40.3,538.2,3.7,0.3,75.4
64,Andrew Hawkins,WR,2.8,20.9,0.0,45.6,583.6,2.6,0.3,75.4
65,Brandon LaFell,WR,0.3,1.9,0.0,41.0,527.5,3.7,1.0,73.3
66,Breshad Perriman,WR,0.0,0.0,0.0,36.0,519.3,3.6,0.4,72.6
67,Jermaine Kearse,WR,0.5,3.9,0.1,37.5,541.3,3.1,0.4,72.4
68,James Jones,WR,0.0,0.0,0.0,41.7,490.9,4.1,1.1,71.6
69,Jerricho Cotchery,WR,0.0,1.6,0.0,44.1,542.7,3.0,0.4,71.5
70,Danny Amendola,WR,0.1,0.1,0.0,49.6,512.6,3.4,0.2,71.2
71,Cole Beasley,WR,0.0,0.0,0.0,45.2,520.5,3.6,1.8,69.8
72,Cody Latimer,WR,0.0,0.0,0.0,38.0,503.5,3.3,0.4,69.4
73,Kamar Aiken,WR,0.0,0.0,0.0,36.0,460.5,3.6,0.3,66.9
74,Dexter McCluster,WR,45.0,184.0,1.0,40.0,362.0,1.0,0.0,66.6
75,Philly Brown,WR,3.4,24.2,0.0,35.0,497.8,2.8,1.5,65.7
76,Robert Woods,WR,0.1,0.1,0.0,36.9,460.7,3.2,1.1,63.4
77,Cecil Shorts,WR,0.7,5.0,0.0,41.1,522.0,2.2,1.6,62.5
78,Jarius Wright,WR,2.0,13.5,0.0,33.3,462.3,2.5,0.2,62.3
79,Tavon Austin,WR,18.5,157.1,0.4,35.0,337.6,1.6,0.3,61.0
80,Dorial Green-Beckham,WR,0.0,0.0,0.0,32.6,457.1,2.7,0.5,60.8
81,Harry Douglas,WR,0.0,0.0,0.0,38.7,475.4,2.4,0.7,60.6
82,Taylor Gabriel,WR,0.9,9.4,0.0,30.5,451.1,2.1,0.3,58.3
83,Mohamed Sanu,WR,3.0,20.6,0.0,33.5,413.4,2.5,0.3,58.0
84,Marqise Lee,WR,0.6,2.4,0.0,38.9,468.8,1.7,0.3,56.5
85,Tyler Lockett,WR,0.7,5.0,0.0,29.4,416.2,2.4,0.4,55.6
86,Donte Moncrief,WR,2.1,12.6,0.0,28.6,392.8,2.5,0.3,54.9
87,Nate Washington,WR,0.0,0.0,0.0,28.6,416.8,2.1,0.3,54.0
88,Phillip Dorsett,WR,1.3,8.7,0.0,28.0,378.3,2.6,0.7,53.1
89,Leonard Hankerson,WR,0.0,0.0,0.0,29.2,361.8,2.7,0.3,51.6
90,Rod Streater,WR,0.0,0.2,0.0,28.8,393.4,2.2,0.8,50.7
91,Andre Holmes,WR,0.0,0.0,0.0,23.7,375.0,2.3,0.3,50.5
92,Andre Roberts,WR,1.1,5.1,0.0,33.7,416.3,2.1,2.2,50.0
93,Justin Hunter,WR,0.0,0.0,0.0,22.0,362.0,2.3,0.3,49.6
94,Riley Cooper,WR,0.0,0.0,0.0,28.3,377.2,2.3,1.1,49.3
95,Louis Murphy,WR,0.0,0.0,0.0,31.0,390.4,1.9,0.8,49.1
96,Ty Montgomery,WR,2.0,13.3,0.0,25.7,345.4,2.3,0.5,48.9
97,Chris Conley,WR,0.0,0.0,0.0,28.0,350.5,2.0,0.0,47.1
98,Jaelen Strong,WR,0.0,0.0,0.0,25.7,348.8,1.8,0.6,44.6
99,Devin Smith,WR,0.3,3.3,0.0,23.6,327.4,2.1,0.5,44.4
100,Albert Wilson,WR,0.0,0.0,0.0,25.3,344.1,1.7,0.3,44.2
101,Marquess Wilson,WR,0.0,0.0,0.0,29.5,334.2,1.9,0.3,44.0
102,Stedman Bailey,WR,0.1,0.9,0.0,25.4,334.3,1.7,0.3,43.1
103,Cordarrelle Patterson,WR,8.3,67.9,0.3,23.1,283.6,1.3,1.3,42.3
104,De'Anthony Thomas,WR,15.0,92.0,0.0,27.3,234.5,1.7,0.3,42.3
105,Jeremy Kerley,WR,1.0,6.5,0.0,24.0,302.7,1.9,0.3,41.5
106,Rishard Matthews,WR,0.3,0.6,0.0,23.5,298.8,1.8,0.0,41.0
107,Justin Hardy,WR,0.0,0.0,0.0,24.1,303.9,1.6,0.0,39.9
108,Marlon Brown,WR,0.0,0.2,0.0,24.3,291.5,1.8,0.3,39.5
109,Kevin White,WR,0.0,0.0,0.0,21.5,297.5,1.5,0.0,38.8
110,Chris Matthews,WR,0.0,0.0,0.0,18.3,253.0,1.8,0.0,36.2
111,Ted Ginn,WR,2.4,16.6,0.0,20.7,298.6,1.5,2.7,35.3
112,Willie Snead,WR,0.0,0.0,0.0,19.7,243.8,1.7,0.0,34.3
113,Josh Huff,WR,0.6,1.7,0.0,22.7,306.1,1.7,3.8,33.5
114,Jacoby Jones,WR,0.7,0.6,0.0,20.9,274.0,1.3,1.8,31.6
115,Jeff Janis,WR,0.0,0.0,0.0,16.6,222.5,1.6,0.5,30.9
116,Jason Avant,WR,0.3,0.5,0.0,24.9,257.6,0.9,0.3,30.7
117,Aaron Dobson,WR,0.0,0.0,0.0,16.6,220.3,1.4,0.0,30.5
118,Andre Caldwell,WR,0.2,1.0,0.0,18.1,241.0,1.0,0.3,29.6
119,Corey Fuller,WR,0.0,0.0,0.0,18.4,262.8,1.3,2.5,29.0
120,Joseph Morgan,WR,0.0,0.0,0.0,13.0,225.0,1.0,0.0,28.5
121,Quinton Patton,WR,0.8,5.3,0.0,20.4,257.7,1.1,2.4,28.3
122,Devin Hester,WR,0.7,3.0,0.0,19.9,250.9,1.0,1.8,28.1
123,Lance Moore,WR,0.0,0.0,0.0,13.5,174.7,1.2,0.0,24.7
124,Jerome Simpson,WR,0.0,0.0,0.0,14.3,186.3,1.0,0.0,24.5
125,Sammie Coates,WR,0.0,0.0,0.0,14.2,191.9,0.9,0.0,24.4
126,Bruce Ellington,WR,0.3,1.9,0.0,10.7,151.0,1.6,0.4,24.2
127,Jaron Brown,WR,0.0,0.0,0.0,12.4,184.2,1.0,0.3,23.8
128,Brandon Tate,WR,0.8,5.4,0.0,18.1,222.8,0.8,1.8,23.8
129,Chris Hogan,WR,0.0,0.0,0.0,16.6,198.0,1.5,2.6,23.6
130,Dontrelle Inman,WR,0.0,0.0,0.0,12.3,165.0,0.9,0.0,21.8
131,Ricardo Lockette,WR,0.5,3.2,0.1,11.2,148.1,0.9,0.0,20.8
132,Preston Parker,WR,0.0,0.0,0.0,12.5,159.0,0.8,0.2,20.3
133,Michael Campanaro,WR,0.0,0.0,0.0,11.9,154.0,0.8,0.4,19.1
134,Ryan Grant,WR,0.0,0.0,0.0,11.4,147.4,0.7,0.0,18.8
135,Devin Street,WR,0.0,0.0,0.0,13.1,174.8,0.2,0.0,18.5
136,Rashad Greene,WR,0.0,0.0,0.0,11.0,177.0,0.0,0.0,17.7
137,Travis Benjamin,WR,0.7,5.1,0.0,8.2,128.9,0.4,0.0,15.8
138,Darrius Heyward-Bey,WR,0.3,1.2,0.0,11.8,124.3,0.5,0.0,15.5
139,Miles Austin,WR,0.0,0.0,0.0,7.7,98.6,0.8,0.0,14.5
140,Chris Owusu,WR,0.2,1.9,0.0,6.6,96.0,0.7,0.0,13.8
141,Eric Weems,WR,0.0,0.0,0.0,6.7,89.7,0.5,0.0,11.7
142,Terrelle Pryor,WR,0.0,0.0,0.0,6.1,81.4,0.3,0.0,10.0
143,Chris Givens,WR,0.0,0.2,0.0,6.6,95.9,0.0,0.0,9.9
144,Stefon Diggs,WR,0.0,0.0,0.0,6.1,78.2,0.3,0.0,9.7
145,Darren Waller,WR,0.0,0.0,0.0,5.6,70.9,0.4,0.0,9.7
146,Brice Butler,WR,0.0,0.0,0.0,6.6,80.8,0.3,0.0,9.6
147,Matt Slater,WR,0.0,0.0,0.0,5.6,70.6,0.4,0.0,9.5
148,Marquise Goodwin,WR,0.1,-0.8,0.0,6.3,83.2,0.1,0.0,9.2
149,Rashad Ross,WR,0.0,0.0,0.0,5.7,71.7,0.3,0.0,8.9
150,Jamison Crowder,WR,0.0,0.0,0.0,5.7,71.7,0.3,0.0,8.9
151,Dwayne Harris,WR,0.3,2.7,0.0,5.1,67.6,0.3,0.0,8.6
152,Marlon Moore,WR,0.0,-0.2,0.0,5.8,71.9,0.2,0.0,8.6
153,Marc Mariani,WR,0.0,0.0,0.0,5.5,67.9,0.3,0.0,8.5
154,J.J. Nelson,WR,0.0,0.0,0.0,5.3,63.7,0.3,0.0,8.4
155,Marcus Easley,WR,0.0,0.0,0.0,5.2,59.6,0.3,0.0,8.0
156,Deonte Thompson,WR,0.0,0.0,0.0,5.1,59.9,0.3,0.0,7.7
157,Adam Thielen,WR,0.0,0.0,0.0,5.4,57.5,0.2,0.0,6.7
