,num_votes,rating,tconst,title,year
0,1676764,9.3,tt0111161,The Shawshank Redemption,1994
1,1147249,9.2,tt0068646,The Godfather,1972
2,784373,9.0,tt0071562,The Godfather: Part II,1974
3,1662089,9.0,tt0468569,The Dark Knight,2008
4,858120,8.9,tt0108052,Schindler's List,1993
5,443452,8.9,tt0050083,12 Angry Men,1957
6,1314301,8.9,tt0110912,Pulp Fiction,1994
7,1206632,8.9,tt0167260,The Lord of the Rings: The Return of the King,2003
8,499674,8.9,tt0060196,"The Good, the Bad and the Ugly",1966
9,1336167,8.9,tt0137523,Fight Club,1999
10,1229948,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001
11,830621,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980
12,1239829,8.8,tt0109830,Forrest Gump,1994
13,1455540,8.8,tt1375666,Inception,2010
14,1092047,8.7,tt0167261,The Lord of the Rings: The Two Towers,2002
15,674998,8.7,tt0073486,One Flew Over the Cuckoo's Nest,1975
16,722823,8.7,tt0099685,Goodfellas,1990
17,1208349,8.7,tt0133093,The Matrix,1999
18,227426,8.7,tt0047478,Seven Samurai,1954
19,904075,8.7,tt0076759,Star Wars: Episode IV - A New Hope,1977
20,529508,8.7,tt0317248,City of God,2002
21,1014993,8.6,tt0114369,Se7en,1995
22,879784,8.6,tt0102926,The Silence of the Lambs,1991
23,273695,8.6,tt0038650,It's a Wonderful Life,1946
24,735234,8.6,tt0114814,The Usual Suspects,1995
