,title,excellent,great,best,hope,love,beautiful,groundbreaking,amazing
0,The Shawshank Redemption,0,0,1,1,0,0,0,0
1,The Godfather,0,1,1,1,1,1,0,1
2,The Godfather: Part II,0,1,0,1,1,0,0,1
3,The Dark Knight,0,0,1,1,1,0,0,1
4,Schindler's List,0,1,0,1,0,0,0,0
5,12 Angry Men,0,1,1,0,1,0,0,0
6,Pulp Fiction,0,1,0,1,0,0,0,0
7,The Lord of the Rings: The Return of the King,0,1,0,1,0,0,0,0
8,"The Good, the Bad and the Ugly",0,1,1,1,0,1,0,0
9,Fight Club,0,1,1,0,0,0,0,0
10,The Lord of the Rings: The Fellowship of the Ring,0,1,0,1,1,0,0,0
11,Star Wars: Episode V - The Empire Strikes Back,1,1,0,1,0,0,0,0
12,Forrest Gump,0,1,1,1,0,0,0,0
13,Inception,1,1,0,1,1,0,0,0
14,The Lord of the Rings: The Two Towers,1,1,1,0,1,1,0,0
15,One Flew Over the Cuckoo's Nest,1,1,0,0,0,0,0,0
16,Goodfellas,0,0,1,0,0,0,0,0
17,The Matrix,0,0,1,0,0,0,0,0
18,Seven Samurai,1,1,0,0,0,0,0,0
19,Star Wars: Episode IV - A New Hope,0,1,0,0,0,0,0,1
20,City of God,0,1,0,1,0,0,0,0
21,Se7en,0,0,1,0,0,0,0,0
22,The Silence of the Lambs,1,1,0,0,0,1,0,1
23,It's a Wonderful Life,0,0,0,0,1,0,0,0
24,The Usual Suspects,0,1,0,0,1,0,0,1
